Week Start Date,Week End Date,Confirmed deaths,Probable deaths
2023-01-08,2023-01-14,132,47
2021-10-17,2021-10-23,79,4
2020-11-22,2020-11-28,153,15
2021-10-03,2021-10-09,85,2
2020-04-05,2020-04-11,654,23
2021-04-25,2021-05-01,74,2
2022-01-23,2022-01-29,417,47
2021-04-18,2021-04-24,67,1
2023-03-19,2023-03-25,54,9
2022-05-08,2022-05-14,66,15
2021-01-17,2021-01-23,396,29
2023-07-30,2023-08-05,2,0
2021-06-20,2021-06-26,12,0
2022-08-28,2022-09-03,69,10
2021-04-04,2021-04-10,70,3
2023-07-16,2023-07-22,9,0
2023-02-05,2023-02-11,105,26
2022-10-09,2022-10-15,85,15
2023-08-27,2023-09-02,22,2
2023-03-26,2023-04-01,33,7
2023-11-12,2023-11-18,17,2
2023-12-17,2023-12-23,27,5
2020-04-26,2020-05-02,1081,48
2022-03-06,2022-03-12,53,8
2022-07-10,2022-07-16,51,11
2022-03-27,2022-04-02,37,3
2023-02-12,2023-02-18,89,19
2022-06-19,2022-06-25,58,7
2020-06-07,2020-06-13,194,5
2024-01-21,2024-01-27,30,2
2021-11-21,2021-11-27,95,8
2021-07-18,2021-07-24,29,0
2020-05-10,2020-05-16,783,38
2023-05-28,2023-06-03,8,1
2023-02-26,2023-03-04,62,20
2023-08-20,2023-08-26,15,4
2020-03-29,2020-04-04,234,9
2020-07-19,2020-07-25,37,1
2021-10-24,2021-10-30,69,5
2020-08-30,2020-09-05,19,3
2022-10-02,2022-10-08,79,21
2021-08-22,2021-08-28,51,7
2020-09-20,2020-09-26,28,0
2022-01-30,2022-02-05,359,23
2024-02-04,2024-02-10,29,3
2023-04-02,2023-04-08,17,2
2020-08-02,2020-08-08,31,1
2021-05-30,2021-06-05,33,1
2021-06-13,2021-06-19,23,1
2020-05-24,2020-05-30,404,10
2022-12-25,2022-12-31,127,31
2022-07-31,2022-08-06,62,12
2024-01-07,2024-01-13,50,2
2020-03-01,2020-03-07,0,0
2021-08-29,2021-09-04,71,4
2022-08-07,2022-08-13,70,22
2022-06-12,2022-06-18,73,17
2022-04-10,2022-04-16,30,7
2022-12-11,2022-12-17,99,23
2020-10-18,2020-10-24,60,3
2022-08-14,2022-08-20,69,15
2020-09-27,2020-10-03,32,0
2021-04-11,2021-04-17,66,2
2022-07-24,2022-07-30,50,9
2023-04-23,2023-04-29,12,0
2023-10-08,2023-10-14,25,6
2022-10-16,2022-10-22,81,21
2020-11-29,2020-12-05,216,18
2022-11-06,2022-11-12,82,17
2021-11-28,2021-12-04,130,11
2023-11-05,2023-11-11,20,9
2023-10-15,2023-10-21,33,5
2020-10-11,2020-10-17,47,8
2023-06-25,2023-07-01,6,0
2023-01-29,2023-02-04,93,30
2020-10-25,2020-10-31,59,4
2023-04-30,2023-05-06,13,0
2023-07-23,2023-07-29,6,1
2020-03-22,2020-03-28,65,1
2022-07-03,2022-07-09,50,11
2022-03-20,2022-03-26,33,3
2020-06-14,2020-06-20,141,1
2020-08-16,2020-08-22,33,3
2021-01-10,2021-01-16,409,19
2023-08-13,2023-08-19,15,1
2023-11-26,2023-12-02,26,3
2021-07-04,2021-07-10,9,0
2023-06-18,2023-06-24,7,1
2022-05-01,2022-05-07,50,9
2021-02-28,2021-03-06,124,5
2023-08-06,2023-08-12,14,7
2024-01-14,2024-01-20,44,8
2020-01-26,2020-02-01,0,0
2022-07-17,2022-07-23,64,15
2021-05-09,2021-05-15,53,3
2023-09-17,2023-09-23,25,4
2021-10-31,2021-11-06,88,4
2023-07-09,2023-07-15,6,2
2020-12-20,2020-12-26,373,20
2021-06-27,2021-07-03,13,1
2023-10-22,2023-10-28,20,7
2022-11-20,2022-11-26,61,22
2020-07-12,2020-07-18,37,5
2023-09-03,2023-09-09,18,6
2021-11-14,2021-11-20,78,4
2022-04-03,2022-04-09,35,3
2020-09-13,2020-09-19,29,0
2023-03-05,2023-03-11,47,10
2022-11-27,2022-12-03,84,16
2021-02-07,2021-02-13,214,12
2020-11-01,2020-11-07,88,4
2022-02-06,2022-02-12,262,26
2020-09-06,2020-09-12,22,0
2021-02-21,2021-02-27,160,15
2023-01-15,2023-01-21,157,27
2020-10-04,2020-10-10,31,5
2022-03-13,2022-03-19,40,5
2022-02-20,2022-02-26,119,8
2022-12-18,2022-12-24,95,29
2020-03-15,2020-03-21,7,0
2022-06-05,2022-06-11,74,19
2023-12-10,2023-12-16,31,5
2022-01-16,2022-01-22,464,49
2022-04-17,2022-04-23,35,8
2022-08-21,2022-08-27,56,14
2020-12-06,2020-12-12,273,13
2022-04-24,2022-04-30,38,4
2022-02-13,2022-02-19,191,13
2023-05-14,2023-05-20,9,2
2021-05-02,2021-05-08,58,3
2020-05-31,2020-06-06,255,3
2021-03-28,2021-04-03,78,3
2021-08-08,2021-08-14,40,4
2021-03-21,2021-03-27,82,1
2020-03-08,2020-03-14,0,0
2021-12-12,2021-12-18,187,10
2022-01-09,2022-01-15,342,59
2023-04-09,2023-04-15,18,4
2021-06-06,2021-06-12,27,0
2020-07-05,2020-07-11,59,1
2022-09-18,2022-09-24,57,16
2023-12-24,2023-12-30,48,11
2023-04-16,2023-04-22,9,2
2020-08-09,2020-08-15,26,0
2022-02-27,2022-03-05,76,8
2023-01-22,2023-01-28,118,28
2020-05-03,2020-05-09,893,49
2023-05-07,2023-05-13,9,2
2021-05-16,2021-05-22,51,1
2021-03-07,2021-03-13,90,8
2022-01-02,2022-01-08,313,47
2023-06-11,2023-06-17,7,1
2021-09-19,2021-09-25,89,4
2021-11-07,2021-11-13,82,3
2022-09-25,2022-10-01,69,18
2023-05-21,2023-05-27,10,1
2020-06-21,2020-06-27,98,4
2024-01-28,2024-02-03,40,1
2020-02-02,2020-02-08,0,0
2021-07-11,2021-07-17,20,1
2023-03-12,2023-03-18,51,8
2022-12-04,2022-12-10,72,24
2023-06-04,2023-06-10,6,1
2023-01-01,2023-01-07,128,37
2021-01-03,2021-01-09,416,17
2021-09-12,2021-09-18,81,5
2023-10-01,2023-10-07,31,3
2021-02-14,2021-02-20,186,14
2022-10-30,2022-11-05,82,21
2020-11-15,2020-11-21,119,6
2020-12-13,2020-12-19,313,8
2020-12-27,2021-01-02,405,27
2023-02-19,2023-02-25,84,23
2022-10-23,2022-10-29,77,34
2021-12-26,2022-01-01,269,17
2021-07-25,2021-07-31,16,1
2021-09-26,2021-10-02,107,2
2020-04-12,2020-04-18,1091,59
2020-04-19,2020-04-25,1210,60
2021-08-15,2021-08-21,40,1
2022-11-13,2022-11-19,64,20
2022-06-26,2022-07-02,55,16
2021-12-19,2021-12-25,190,14
2021-01-31,2021-02-06,304,19
2021-05-23,2021-05-29,34,0
2023-12-03,2023-12-09,32,5
2023-12-31,2024-01-06,36,4
2021-03-14,2021-03-20,90,6
2021-10-10,2021-10-16,72,3
2023-11-19,2023-11-25,23,3
2022-05-15,2022-05-21,82,25
2023-10-29,2023-11-04,23,6
2020-08-23,2020-08-29,28,2
2022-09-04,2022-09-10,62,16
2021-08-01,2021-08-07,22,2
2020-05-17,2020-05-23,535,22
2020-06-28,2020-07-04,75,3
2020-07-26,2020-08-01,30,2
2023-09-24,2023-09-30,24,8
2021-01-24,2021-01-30,391,13
2022-05-22,2022-05-28,70,17
2022-09-11,2022-09-17,53,12
2022-05-29,2022-06-04,61,13
2021-09-05,2021-09-11,78,4
2023-09-10,2023-09-16,26,3
2020-11-08,2020-11-14,97,5
2023-07-02,2023-07-08,7,1
2021-12-05,2021-12-11,150,10
